English,Spanish,Greek,Portuguese,German,Turkish,Vietnamese,Italian,Polish,Russian,Japanese
part,parte,μέρος,parte,Teil,parça,một phần,parte,część,часть,一部
history,historia,ιστορία,história,Geschichte,tarih,lịch sử,storia,historia,история,歴史
search,búsqueda,αναζήτηση,busca,Suche,arama,tìm kiếm,ricerca,szukaj,поиск,検索
only,sólo,μόνο,apenas,nur,sadece,chỉ,solo,tylko,только,のみ
police,policía,αστυνομία,polícia,Polizei,polis,cảnh sát,polizia,policja,полиция,警察
thought,pensamiento,σκέψη,pensamento,Gedanke,düşünce,suy nghĩ,pensiero,myśl,мысль,考えた
help,ayuda,βοήθεια,ajuda,Hilfe,yardım,giúp đỡ,aiuto,pomoc,помощь,助ける
request,petición,αίτημα,pedido,Bitte,istek,yêu cầu,richiesta,prośba,просьба,要求
kind,amable,είδος,tipo,Art,nazik,loại,tipo,uprzejmy,добрый,種類
month,mes,μήνας,mês,Monat,ay,tháng,mese,miesiąc,месяц,月
brother,hermano,αδελφός,irmão,Bruder,kardeş,anh trai,fratello,brat,брат,兄弟
because,porque,γιατί,porque,weil,çünkü,because,perché,ponieważ,потому что,理由
to put,poner,να βάλω,colocar,setzen,koymak,to put,mettere,postawić,поставить,置く
no,no,όχι,não,nein,hayır,no,no,nie,нет,いいえ
leash,correa,λουρί,coleira,Leine,tasma,leash,guinzaglio,smycz,поводок,ひも
them,ellos,αυτοί,eles,sie,onlar,them,loro,oni,они,彼ら
city,ciudad,πόλη,cidade,Stadt,şehir,city,città,miasto,город,都市
each,cada,καθένας,cada,jeder,her biri,each,ciascuno,każdy,каждый,それぞれ
speak,habla,μιλήστε,falar,sprechen,konuşmak,speak,parlare,mówić,говорить,話す
come,ven,έλα,vir,kommen,gelmek,come,venire,przyjść,прийти,来る
should,debería,πρέπει,deveria,sollte,olmalı,should,dovrebbe,powinien,должен,すべき
baby,bebé,μωρό,bebê,Baby,bebek,baby,bambino,dziecko,ребенок,赤ちゃん
long time,mucho tiempo,πολύς χρόνος,longo tempo,lange Zeit,uzun zaman,long time,molto tempo,długi czas,долгое время,長い時間
hours,horas,ώρες,horas,Stunden,saatler,hours,ore,godziny,часы,時間
will,hará,θα,irá,wird,irade,will,sarà,będzie,будет,意志
meet again,reunirse de nuevo,συναντιούνται ξανά,encontrar-se novamente,wiedersehen,tekrar buluşmak,meet again,incontrarsi di nuovo,spotkaj się ponownie,встречаться,また会う
any,cualquiera,οποιοσδήποτε,qualquer,irgendein,herhangi biri,any,qualsiasi,jakiekolwiek,любой,任意の
square,cuadrado,τετράγωνο,quadrado,quadratisch,kare,square,quadrato,kwadratowe,квадрат,正方形
speak,hablar,μιλήστε,falar,sprechen,konuşmak,speak,parlare,mów,говорить,話す
understood,entendido,κατάλαβε,compreendido,verstanden,anlaşıldı,understand,compreso,zrozumiałe,понимать,理解した
knew,sabía,ήξερε,sabia,wusste,biliyordu,knew,sapeva,wiedział,знать,知っていた
Warning,advertencia,Προειδοποίηση,Aviso,Warnung,Uyarı,Warning,Avvertimento,Ostrzeżenie,предупреждение,警告
could,podría,θα μπορούσε,poderia,könnte,olabilir,can,potrebbe,mogłoby,мог бы,できた
case,caso,υπόθεση,caso,Fall,vaka,case,caso,przypadek,случай,ケース
give,dar,να δώσει,dar,geben,vermek,give,dare,dać,дать,与える
type,tipo,τύπος,tipo,Typ,tip,type,tipo,typ,тип,タイプ
their,su,τους,deles,ihr,onların,their,loro,ich,их,彼らの
given,dado,δόθηκε,dado,gegeben,verilen,given,dato,Mógłby,дано,与えられた
train,tren,τρένο,treinar,Zug,tren,train,treno,Przypadek,поезд,電車
body,cuerpo,σώμα,corpo,Körper,beden,body,corpo,dać,тело,体
place,lugar,τόπος,lugar,Ort,yer,place,luogo,Pociąg,место,場所
eyes,ojos,μάτια,olhos,Augen,gözler,eyes,occhi,ciało,глаза,目
way,camino,τρόπος,caminho,Weg,yol,way,via,miejsce,путь,道
listen,escuchar,ακούστε,ouvir,hören,dinle,listen,ascoltare,oczy,слушать,聞く
whose,quién,ποιος,quem,wen,kim,whose,chi,sposób,кто,誰
lost,perdido,χαμένος,perdido,verloren,kayboldu,lost,perso,znajdź,потерянный,失われた
hand,mano,χέρι,mão,Hand,el,bàn tay,mano,pierwszy,рука,手
first,primero,πρώτο,primeiro,zuerst,ilk,đầu tiên,prima,zagubiony,первый,最初
side,lado,πλευρά,lado,Seite,yan,bên,lato,ręka,сторона,側
power,poder,εξουσία,poder,Macht,güç,quyền lực,potere,pierwszy,сила,力
old,viejo,παλιά,velho,alt,yaşlı,cũ,vecchio,strona,старый,古い
be,ser,είναι,ser,sein,olmak,được,essere,moc,быть,ある
here,aquí,εδώ,aqui,hier,burada,đây,qui,stary,здесь,ここ
morning,mañana,πρωί,manhã,Morgen,sabah,buổi sáng,mattina,być,утро,朝
so much,tanto,τόσο πολύ,tanto,so viel,çok fazla,rất nhiều,tanto,tutaj,так много,そんなに
child,niño,παιδί,criança,Kind,çocuk,trẻ em,bambino,rano,ребенок,子供
point,punto,σημείο,ponto,Punkt,nokta,điểm,punto,tak bardzo,точка,ポイント
came,vino,ήρθε,veio,kam,geldi,đến,venuto,dziecko,пришел,来た
after,después,μετά,depois,nach,sonra,sau,dopo,punkt,после,後
sorry,lo siento,συγγνώμη,desculpe,Entschuldigung,üzgünüm,xin lỗi,scusa,przyszedł,извините,ごめんなさい
in front of,delante de,μπροστά,na frente de,vor,önünde,trước mặt,di fronte,przepraszam,вперед,前
towards,hacia,προς,para,zu,ileri,hướng tới,verso,przyjdź,навстречу,に向かって
minutes,minutos,λεπτά,minutos,Minuten,dakikalar,phút,minuti,przed,минутам,分
request,petición,αίτημα,pedido,Bitte,istek,yêu cầu,richiesta,minut,просьба,要求
bedroom,dormitorio,κρεβατοκάμαρα,quarto,Schlafzimmer,yatak odası,phòng ngủ,camera da letto,prośba,спальня,寝室
placed,colocado,τοποθετημένο,colocado,platziert,yerleştirilmiş,đặt,posto,sypialnia,размещено,配置
would like to,me gustaría,θα ήθελε να,gostaria de,möchte,istiyorum,muốn,vorrebbe,prawo,хотел бы,したい
today,hoy,σήμερα,hoje,heute,bugün,hôm nay,oggi,chciałby,сегодня,今日
husband,marido,σύζυγος,marido,Ehemann,koca,chồng,marito,dzisiaj,муж,夫
cause,causa,αιτία,causa,Ursache,neden,nguyên nhân,causa,mąż,причина,原因
finally,finalmente,επιτέλους,finalmente,endlich,nihayet,cuối cùng,finalmente,przyczyna,наконец,最終的に
hope,esperanza,ελπίδα,esperança,Hoffnung,umut,hy vọng,speranza,wreszcie,надежда,希望
water,agua,νερό,água,Wasser,su,nước,acqua,nadzieja,вода,水
Wait,Espera,Περιμένετε,Espera,Warten,Bekle,Chờ đợi,Aspetta,woda,Подождите,待つ
left,izquierda,αριστερά,esquerda,links,sol,trái,sinistra,czekaj,слева,左
new,nuevo,νέο,novo,neu,yeni,mới,nuovo,odszedł,новый,新しい
job,trabajo,δουλειά,trabalho,Job,iş,công việc,lavoro,nowy,работа,仕事
Stop,Detener,Σταματήστε,Parar,Stop,Dur,Dừng lại,Stop,praca,Стоп,やめる
would say,diría,θα έλεγαν,diria,würde sagen,diyecek,sẽ nói,direi,powiedziałby,сказал бы,言うだろう
Earth,Tierra,Γη,Terra,Erde,Dünya,Trái đất,Terra,Ziemia,Земля,地球
account,cuenta,λογαριασμός,conta,Konto,hesap,tài khoản,conto,rachunek,дано,アカウント
given,dado,δεδομένο,dado,gegeben,verilen,cho,dato,dane,далеко,与えられた
end,fin,τέλος,fim,Ende,son,kết thúc,fine,koniec,верить,終わり
believe,creer,πιστεύω,acreditar,glauben,inan,tin tưởng,credere,wierzyć,возлюбленная,信じる
sweetheart,cariño,αγαπημένη,querida,Schatz,tatlım,người yêu,tesoro,kochanie,большой,恋人
large,grande,μεγάλη,grande,groß,büyük,lớn,grande,duży,скорее,大きい
rather,más bien,μάλλον,ao contrário,eher,daha ziyade,thay vì,piuttosto,raczej,будет,むしろ
will have,tendrá,θα έχει,terá,wird,olacak,sẽ có,avrà,będzie miał,иметь,持っている
girls,niñas,κορίτσια,meninas,Mädchen,kızlar,con gái,ragazze,dziewczyny,девочки,女の子
to play,jugar,να παίξω,brincar,spielen,oynamak,chơi,giocare,bawić się,играть,遊ぶ
office,oficina,γραφείο,escritório,Büro,ofis,văn phòng,ufficio,biuro,офис,オフィス
